application_id,client_id,source,branch,application_created_at,agreement_issued_at,status,agreement_id
413186,381032,Customer Care,Boda Call Centre,28/10/2022,,Cancelled,
412173,379994,Customer Care,Boda Call Centre,26/10/2022,,Cancelled,
402036,370266,Car Branch,Prestige Plaza,03/10/2022,,Cancelled,
409424,377253,WEB,Boda Prestige,19/10/2022,,Cancelled,
400878,108195,Customer Care,Boda Call Centre,30/09/2022,,Cancelled,
448565,411976,Customer Care,CBD ,06/01/2023,10/01/2023,Loan_Issued,95226
450468,58528,WEB,Boda Call Centre,10/01/2023,,Collect_Info_Docs,
407076,260373,WEB,CBD ,14/10/2022,05/11/2022,Loan_Issued,89064
422028,389278,WEB,Boda Prestige,14/11/2022,,Cancelled,
444935,396052,Car Branch,Thika,31/12/2022,,Cancelled,
429619,396409,Agents,CBD ,30/11/2022,30/11/2022,Loan_Issued,91438
397739,366635,Marketing Activation,CBD ,23/09/2022,,Cancelled,
420637,28826,Customer Care,Boda Call Centre,11/11/2022,,Cancelled,
419391,386670,Customer Care,CBD ,09/11/2022,09/11/2022,Loan_Issued,89502
441799,406645,WEB,Prestige Plaza,24/12/2022,10/01/2023,Loan_Issued,94170
425084,392125,WEB,Boda Call Centre,21/11/2022,,Cancelled,
425017,392085,WEB,Boda Call Centre,21/11/2022,,Cancelled,
412301,380154,WEB,Prestige Plaza,26/10/2022,01/11/2022,Loan_Issued,88470
424478,391680,WEB,Boda Prestige,19/11/2022,,Cancelled,
405875,313739,Customer Care,Boda Call Centre,11/10/2022,,Cancelled,
405871,84418,Customer Care,Boda Call Centre,11/10/2022,,Cancelled,
389137,67950,Agents,Boda Outer Nairobi,05/09/2022,,Cancelled,
441411,406321,WEB,CBD ,23/12/2022,23/12/2022,Loan_Issued,93992
414356,241421,Customer Care,CBD ,31/10/2022,01/11/2022,Loan_Issued,88589
407695,375642,Agents,Kitengela,15/10/2022,19/10/2022,Loan_Issued,87275
427488,394400,WEB,Boda Call Centre,25/11/2022,,Cancelled,
409535,171429,Customer Care,Boda Call Centre,19/10/2022,,Cancelled,
427517,394426,WEB,Boda Call Centre,25/11/2022,,Cancelled,
427431,394341,WEB,Boda Call Centre,25/11/2022,,Cancelled,
439471,76502,Agents,Boda Outer Nairobi,20/12/2022,,Cancelled,
427388,18834,WEB,Boda Call Centre,25/11/2022,,Cancelled,
427386,394283,Customer Care,Boda Call Centre,25/11/2022,,Cancelled,
427271,394169,WEB,Boda Call Centre,25/11/2022,,Cancelled,
427242,394148,WEB,Boda Call Centre,25/11/2022,,Cancelled,
427275,394175,WEB,Boda Call Centre,25/11/2022,,Cancelled,
420429,387710,WEB,Boda Prestige,11/11/2022,,Cancelled,
439295,29815,WEB,Boda Prestige,20/12/2022,,Cancelled,
414395,382215,Customer Care,Boda Call Centre,31/10/2022,01/11/2022,Loan_Issued,88464
409468,367804,Infobip,Boda Prestige,19/10/2022,,Cancelled,
397728,366623,Customer Care,Boda Call Centre,23/09/2022,,Cancelled,
413321,381184,WEB,Boda Prestige,28/10/2022,,Cancelled,
420458,330178,Customer Care,Boda Call Centre,11/11/2022,,Cancelled,
397736,366633,Customer Care,Boda Call Centre,23/09/2022,,Cancelled,
446392,410158,WEB,CBD ,03/01/2023,10/01/2023,Loan_Issued,95208
381128,352330,Agents,Boda Outer Nairobi,19/08/2022,19/08/2022,Loan_Issued,81672
389742,359486,Agents,Boda Outer Nairobi,06/09/2022,,Cancelled,
441463,406370,WEB,Boda Call Centre,23/12/2022,,Collect_Info_Docs,
372571,345178,Marketing Activation,Prestige Plaza,30/07/2022,02/08/2022,Loan_Issued,80666
397757,7343,Customer Care,Boda Call Centre,23/09/2022,,Cancelled,
375913,347998,Agents,Boda Outer Nairobi,05/08/2022,05/08/2022,Loan_Issued,81052
418329,385588,Customer Care,Boda Call Centre,07/11/2022,,Cancelled,
398132,366958,Customer Care,Boda Call Centre,24/09/2022,28/09/2022,Loan_Issued,85182
422023,386490,Customer Care,CBD ,14/11/2022,14/11/2022,Loan_Issued,89945
403801,368438,WEB,Boda Prestige,06/10/2022,,Cancelled,
439315,404524,WEB,Boda Prestige,20/12/2022,,Cancelled,
397911,366796,Customer Care,Boda Call Centre,23/09/2022,28/09/2022,Loan_Issued,85207
455537,417741,WEB,Boda Call Centre,19/01/2023,,Collect_Info_Docs,
399926,368438,Customer Care,Boda Call Centre,28/09/2022,,Cancelled,
452962,415635,WEB,Prestige Plaza,14/01/2023,,Vehicle_Valuation,
420104,387412,WEB,Boda Prestige,10/11/2022,,Cancelled,
417263,384620,WEB,Boda Prestige,05/11/2022,,Cancelled,
417366,384714,Agents,Boda Outer Nairobi,05/11/2022,05/11/2022,Loan_Issued,89087
429685,347973,Agents,Boda Outer Nairobi,30/11/2022,,Cancelled,
411522,379333,Marketing Activation,CBD ,25/10/2022,,Cancelled,
419789,387094,Customer Care,Boda Call Centre,10/11/2022,,Cancelled,
436633,101853,WEB,Boda Prestige,14/12/2022,,Cancelled,
434422,400726,WEB,Boda Prestige,09/12/2022,,Cancelled,
450128,413234,WEB,CBD ,09/01/2023,10/01/2023,Loan_Issued,95402
371428,344153,Car Branch,CBD ,28/07/2022,29/07/2022,Loan_Issued,80355
403288,343153,Customer Care,Boda Call Centre,05/10/2022,06/10/2022,Loan_Issued,85990
405724,373698,Customer Care,Boda Call Centre,11/10/2022,,Cancelled,
406111,18633,Customer Care,Boda Call Centre,12/10/2022,,Cancelled,
415044,382758,WEB,Prestige Plaza,01/11/2022,05/11/2022,Loan_Issued,89076
371953,292463,Marketing Activation,CBD ,29/07/2022,,Cancelled,
439367,404572,WEB,Boda Call Centre,20/12/2022,,Collect_Info_Docs,
450517,413512,WEB,Boda Call Centre,10/01/2023,,Collect_Info_Docs,
424335,391566,Customer Care,Boda Call Centre,18/11/2022,,Cancelled,
424276,391505,Agents,Boda Outer Nairobi,18/11/2022,,Cancelled,
411375,379200,Customer Care,Boda Call Centre,24/10/2022,,Cancelled,
421984,389225,WEB,Boda Call Centre,14/11/2022,,Cancelled,
432194,13882,WEB,Boda Prestige,06/12/2022,,Cancelled,
371764,344474,Marketing Activation,Prestige Plaza,28/07/2022,,Cancelled,
397841,366724,Customer Care,Boda Call Centre,23/09/2022,,Cancelled,
439388,404596,WEB,Boda Call Centre,20/12/2022,,Collect_Info_Docs,
420748,106238,WEB,CBD ,11/11/2022,14/11/2022,Loan_Issued,89938
379221,314126,Agents,Boda Outer Nairobi,15/08/2022,,Cancelled,
409389,367804,Agents,Boda Outer Nairobi,19/10/2022,,Cancelled,
411503,379320,WEB,Boda Prestige,25/10/2022,,Cancelled,
405736,373712,Customer Care,Boda Call Centre,11/10/2022,,Cancelled,
413452,381327,Car Branch,Thika,28/10/2022,,Cancelled,
407240,375192,Customer Care,Boda Call Centre,14/10/2022,,Cancelled,
412571,106238,WEB,Boda Prestige,27/10/2022,,Cancelled,
409467,367804,Customer Care,Boda Call Centre,19/10/2022,,Cancelled,
401284,369616,Customer Care,Boda Call Centre,01/10/2022,03/10/2022,Loan_Issued,85574
437715,403245,WEB,Boda Prestige,16/12/2022,,Cancelled,
391414,361134,Agents,Boda Outer Nairobi,09/09/2022,10/09/2022,Loan_Issued,83628
455489,417711,WEB,Boda Prestige,19/01/2023,,Collect_Info_Docs,
418117,142440,WEB,Boda Prestige,07/11/2022,,Cancelled,
396497,365534,Customer Care,Boda Call Centre,21/09/2022,,Cancelled,
450585,413586,Customer Care,Boda Call Centre,10/01/2023,,Cancelled,
411559,379366,Marketing Activation,CBD ,25/10/2022,27/10/2022,Loan_Issued,87800
367585,340036,Field Marketing,Boda Outer Nairobi,21/07/2022,,Cancelled,
402169,370396,Customer Care,Boda Call Centre,03/10/2022,,Cancelled,
400129,368623,Infobip,Boda Prestige,28/09/2022,,Cancelled,
427422,369381,WEB,Boda Prestige,25/11/2022,,Cancelled,
455623,417803,WEB,Boda Prestige,19/01/2023,,Collect_Info_Docs,
422070,389318,Customer Care,Boda Call Centre,14/11/2022,,Cancelled,
376539,314126,Marketing Activation,Prestige Plaza,06/08/2022,,Cancelled,
396445,365510,Customer Care,Boda Call Centre,21/09/2022,,Cancelled,
437652,403197,WEB,Boda Prestige,16/12/2022,,Cancelled,
402158,370386,Customer Care,Boda Call Centre,03/10/2022,,Cancelled,
401279,369613,Customer Care,Boda Call Centre,01/10/2022,,Cancelled,
406939,374929,Customer Care,Boda Call Centre,13/10/2022,15/10/2022,Loan_Issued,86825
422236,169953,Customer Care,Boda Call Centre,15/11/2022,,Cancelled,
455580,417771,WEB,Boda Prestige,19/01/2023,,Collect_Info_Docs,
455440,417681,WEB,Boda Call Centre,19/01/2023,,Cancelled,
455509,417722,WEB,Boda Prestige,19/01/2023,,Collect_Info_Docs,
401059,369397,Customer Care,Boda Call Centre,30/09/2022,,Cancelled,
401044,369381,Customer Care,Boda Call Centre,30/09/2022,,Cancelled,
400860,369199,Customer Care,Boda Call Centre,30/09/2022,,Cancelled,
406707,374680,Customer Care,CBD ,13/10/2022,15/10/2022,Loan_Issued,86850
448512,44052,Customer Care,Boda Call Centre,06/01/2023,,Cancelled,
407590,375547,Customer Care,Boda Call Centre,15/10/2022,,Cancelled,
437634,368397,WEB,Boda Prestige,16/12/2022,,Cancelled,
