lead_id,status,lead_date,region,vehicle_model,ga_client_id,application_id
275746,Cancelled,24/10/2022,,Samsung Galaxy A53 128GB,,
275700,Cancelled,24/10/2022,,Samsung Galaxy A53 128GB,,
283042,Cancelled,04/11/2022,,Samsung Galaxy A12 64GB,,
294484,Cancelled,21/11/2022,,Samsung Galaxy A53 128GB,,
283146,Cancelled,04/11/2022,,Samsung Galaxy A12 64GB,,
294005,Cancelled,21/11/2022,Mombasa,Samsung Galaxy A12 64GB,874541436.3,
314305,Application submitted,28/12/2022,Nairobi,Samsung Galaxy A12 64GB,3361903516,442816
314318,New,28/12/2022,,Samsung Galaxy A53 128GB,712782334.3,
314180,Cancelled,27/12/2022,Nairobi,Samsung Galaxy A23 64GB,,
283076,Cancelled,04/11/2022,Nairobi,Samsung Galaxy A23 64GB,,
314459,New,28/12/2022,,Samsung Galaxy A12 64GB,1501605630,
283121,Cancelled,04/11/2022,Nairobi,Samsung Galaxy A53 128GB,,
283079,Cancelled,04/11/2022,Nairobi,Samsung Galaxy A12 64GB,,
283100,Cancelled,04/11/2022,Nairobi,Samsung Galaxy A53 128GB,,
283074,Cancelled,04/11/2022,Nairobi,Samsung Galaxy A53 128GB,,
315476,New,29/12/2022,,Samsung Galaxy A04 64GB,,
315484,New,29/12/2022,,Samsung Galaxy A23 64GB,175692710.3,
315487,New,29/12/2022,,Samsung Galaxy A23 64GB,3065927550,
315495,New,29/12/2022,,Samsung Galaxy A04 64GB,759485184.3,
283171,Cancelled,04/11/2022,,Samsung Galaxy A53 128GB,,
283108,Cancelled,04/11/2022,Nairobi,Samsung Galaxy A12 64GB,,
282722,Cancelled,03/11/2022,Kakamega,Samsung Galaxy A23 64GB,,
283199,Cancelled,04/11/2022,Other,Samsung Galaxy A53 128GB,,
283183,Cancelled,04/11/2022,,Samsung Galaxy A12 64GB,,
283193,Cancelled,04/11/2022,Nairobi,Samsung Galaxy A12 64GB,,
283174,Cancelled,04/11/2022,Nairobi,Samsung Galaxy A12 64GB,,
283135,Cancelled,04/11/2022,Nairobi,Samsung Galaxy A53 128GB,,
275722,Cancelled,24/10/2022,,Samsung Galaxy A12 64GB,,
285025,Cancelled,07/11/2022,Nairobi,Samsung Galaxy A23 64GB,,
275726,Cancelled,24/10/2022,,Samsung Galaxy A23 64GB,,
313767,Cancelled,25/12/2022,Nairobi,Samsung Galaxy A04 64GB,3057138522,
285564,Cancelled,08/11/2022,Nairobi,Samsung Galaxy A53 128GB,,
275620,Cancelled,24/10/2022,,Samsung Galaxy A53 128GB,,
285524,Cancelled,08/11/2022,Nairobi,Samsung Galaxy A53 128GB,,
314627,Cancelled,28/12/2022,Nairobi,Samsung Galaxy A23 64GB,3250723268,
281558,Cancelled,01/11/2022,Kiambu,Samsung Galaxy A23 64GB,,
293786,Application submitted,20/11/2022,Nairobi,Samsung Galaxy A53 128GB,3561961394,425157
285555,Cancelled,08/11/2022,Nairobi,Samsung Galaxy A23 64GB,,
285590,Cancelled,08/11/2022,Nairobi,Samsung Galaxy A12 64GB,,
285588,Cancelled,08/11/2022,Nairobi,Samsung Galaxy A53 128GB,,
285569,Cancelled,08/11/2022,Nairobi,Samsung Galaxy A53 128GB,,
314466,New,28/12/2022,,Samsung Galaxy A53 128GB,2033102676,
314467,New,28/12/2022,,Samsung Galaxy A53 128GB,835580318.3,
275576,Cancelled,24/10/2022,,Samsung Galaxy A23 64GB,,
285908,Application submitted,08/11/2022,Nairobi,Samsung Galaxy A23 64GB,3696101742,418967
314486,New,28/12/2022,,Samsung Galaxy A23 64GB,71264240.33,
284970,Cancelled,07/11/2022,Other,Samsung Galaxy A12 64GB,,
314501,New,28/12/2022,,Samsung Galaxy A04 64GB,1537057306,
284703,Cancelled,07/11/2022,Nairobi,Samsung Galaxy A23 64GB,,
315670,New,30/12/2022,,Samsung Galaxy A23 64GB,1501605630,
294037,Cancelled,21/11/2022,Nairobi,Samsung Galaxy A12 64GB,1501605630,
283981,Cancelled,05/11/2022,Nairobi,Samsung Galaxy A53 128GB,,
283976,Cancelled,05/11/2022,Nairobi,Samsung Galaxy A12 64GB,,
284516,Cancelled,06/11/2022,Nairobi,Samsung Galaxy A53 128GB,,
294014,Cancelled,21/11/2022,Nairobi,Samsung Galaxy A53 128GB,1501605630,
284910,Cancelled,07/11/2022,Bungoma,Samsung Galaxy A53 128GB,,
283952,Cancelled,05/11/2022,Nairobi,Samsung Galaxy A23 64GB,,
293979,Cancelled,20/11/2022,Nairobi,Samsung Galaxy A53 128GB,1501605630,
293957,Application submitted,20/11/2022,Nairobi,Samsung Galaxy A53 128GB,3621103352,425129
283945,Cancelled,05/11/2022,Nairobi,Samsung Galaxy A53 128GB,,
284473,Cancelled,06/11/2022,Nairobi,Samsung Galaxy A23 64GB,,
284535,Cancelled,06/11/2022,Nairobi,Samsung Galaxy A53 128GB,,
315684,New,30/12/2022,,Samsung Galaxy A53 128GB,1501605630,
283941,Cancelled,05/11/2022,Nairobi,Samsung Galaxy A53 128GB,,
314548,New,28/12/2022,,Samsung Galaxy A53 128GB,1501605630,
294923,Cancelled,22/11/2022,Nairobi,Samsung Galaxy A53 128GB,1501605630,
293779,Application submitted,20/11/2022,Nairobi,Samsung Galaxy A23 64GB,1959428728,425155
275776,Cancelled,24/10/2022,,Samsung Galaxy A23 64GB,,
284371,Cancelled,06/11/2022,Nairobi,Samsung Galaxy A23 64GB,,
276244,Cancelled,25/10/2022,,Samsung Galaxy A12 64GB,,
276324,Cancelled,25/10/2022,,Samsung Galaxy A53 128GB,,
